기준월,년,월,콘텐츠구분,서비스 형태,프로그램 제목,프로그램 코드,매출,KBS저작권료,외부저작권료
2025-01-01,2025,1,KBS,VOD,아이를 위한 나라는 있다,T2019-0151,5105,4390,0
2025-01-01,2025,1,KBS,VOD,가요톱10,KM2013060019,8046,6920,0
2025-01-01,2025,1,KBS,VOD,2023 KBS 국악대상,T2023-0412,122,105,0
2025-01-01,2025,1,KBS,VOD,KBS 국악대상,T2019-0354,123,106,0
2025-01-01,2025,1,KBS,VOD,특집 다큐 청춘 FC 헝그리 일레븐 연장전,T2016-0003,883,759,0
2025-01-01,2025,1,KBS,VOD,시간을 달리는 TV,T2015-0389,802,690,0
2025-01-01,2025,1,KBS,VOD,트롯 전국체전 설특집,T2020-0376,5908,5081,0
2025-01-01,2025,1,KBS,VOD,나의 결혼 원정기,T2014-0517,123,106,0
2025-01-01,2025,1,KBS,VOD,잠시만 빌리지,T2018-0597,1405,1208,0
2025-01-01,2025,1,KBS,VOD,투페이스,T2020-1458,1353,1164,0
2025-01-01,2025,1,KBS,VOD,엄마의 소개팅,T2016-0954,613,527,0
2025-01-01,2025,1,KBS,VOD,한국인의 노래,T2020-0357,12,10,0
2025-01-01,2025,1,KBS,VOD,볼빨간 당신,T2018-0492,13518,11625,0
2025-01-01,2025,1,KBS,VOD,2013 KBS 연기대상,T2013-0680,4151,3570,0
2025-01-01,2025,1,KBS,VOD,2015 KBS 연예대상,T2015-0720,1796,1545,0
2025-01-01,2025,1,KBS,VOD,바라던 바다,T2013-0421,296,255,0
2025-01-01,2025,1,KBS,VOD,나물 캐는 아저씨,T2018-0203,1544,1328,0
2025-01-01,2025,1,KBS,VOD,레전드 7080,T2019-0229,2568,2208,0
2025-01-01,2025,1,KBS,VOD,밥상의 신,T2014-0137,398,342,0
2025-01-01,2025,1,KBS,VOD,추석 특집 옛날TV 그땐 그랬지,T2021-0383,3504,3013,0
2025-01-01,2025,1,KBS,VOD,이소라의 프로포즈,T2000-0073,47977,41260,0
2025-01-01,2025,1,KBS,VOD,추억하라 콘서트 7080,T2019-0332,2967,2552,0
2025-01-01,2025,1,KBS,VOD,2014 트로트대축제,T2014-0883,188,162,0
2025-01-01,2025,1,KBS,VOD,불후의 재발견,T2015-0244,457,393,0
2025-01-01,2025,1,KBS,VOD,어게인 가요톱10,T2019-0331,587,505,0
2025-01-01,2025,1,KBS,VOD,이야기쇼 두드림,T2011-0929,441,379,0
2025-01-01,2025,1,KBS,VOD,뮤직뱅크 인 베를린,T2018-0566,1395,1200,0
2025-01-01,2025,1,KBS,VOD,전설의 배우들,T2021-0437,426,366,0
2025-01-01,2025,1,KBS,VOD,제17회 한중가요제,T2015-0676,83,71,0
2025-01-01,2025,1,KBS,VOD,2021 신년음악회,T2019-0504,163,140,0
2025-01-01,2025,1,KBS,VOD,파리로 가는 길,T2018-0646,386,332,0
2025-01-01,2025,1,KBS,VOD,어느날 갑자기 외.개.인,T2016-0347,166,143,0
2025-01-01,2025,1,KBS,VOD,달빛프린스,T2013-0004,1083,931,0
2025-01-01,2025,1,KBS,VOD,드라맛집 오마주,T2020-1519,48,41,0
2025-01-01,2025,1,KBS,VOD,뮤직뱅크-터키 공연,T2013-0507,3131,2693,0
2025-01-01,2025,1,KBS,VOD,엄마 아빠는 외계인,T2018-0451,1513,1301,0
2025-01-01,2025,1,KBS,VOD,2017 RAIN IS BACK,T2017-1106,358,308,0
2025-01-01,2025,1,KBS,VOD,문화빅뱅 더 콘서트,T2014-0856,824,709,0
2025-01-01,2025,1,KBS,VOD,레이디액션,T2015-0201,272,234,0
2025-01-01,2025,1,KBS,VOD,스타일 포 유,T2015-0129,601,517,0
2025-01-01,2025,1,KBS,VOD,도시전설,T2018-0424,2816,2422,0
2025-01-01,2025,1,KBS,VOD,2020 대한민국 가수대축제,T2020-0002,22,19,0
